p1,p2,tp1,tp2,qd1,qd2,ad1,ad2,ed1,ed2
0.978701,0.913483,11.9288,14.748,0.00939155,0.0768194,0.369677,0.678109,0.379068,0.754929
0.976827,0.920077,12.1908,14.4868,0.0103935,0.0703596,0.373477,0.660813,0.383871,0.731173
0.974549,0.918453,12.4676,14.2092,0.0116612,0.0705214,0.377863,0.656891,0.389524,0.727413
0.975064,0.925656,12.732,13.9452,0.0120948,0.0568427,0.380843,0.634309,0.392938,0.691151
0.974023,0.925847,12.9884,13.6892,0.0133084,0.0559867,0.384354,0.626621,0.397662,0.682608
0.971718,0.930111,13.2624,13.4148,0.0137034,0.0507924,0.388721,0.610067,0.402424,0.660859
0.971083,0.930908,13.5268,13.15,0.0141893,0.0479577,0.393362,0.605352,0.407551,0.65331
0.971408,0.933691,13.8072,12.87,0.0156281,0.042386,0.397142,0.5914,0.41277,0.633786
0.968392,0.937342,14.0812,12.596,0.016715,0.0405016,0.4044,0.579431,0.421115,0.619932
0.968785,0.933675,14.3508,12.326,0.0164208,0.0373903,0.406289,0.573451,0.42271,0.610842
0.96712,0.937607,14.6128,12.064,0.018289,0.0368423,0.411685,0.562435,0.429974,0.599277
0.966109,0.938217,14.8688,11.8084,0.0179328,0.0359544,0.415859,0.556803,0.433791,0.592758
0.964581,0.940349,15.1308,11.5456,0.0196871,0.032376,0.420787,0.547668,0.440474,0.580044
0.96232,0.942425,15.3952,11.2812,0.0200535,0.0299829,0.427012,0.538733,0.447066,0.568716
0.963536,0.947606,15.6748,11.0036,0.0214261,0.0264695,0.429505,0.526142,0.450931,0.552612
0.962368,0.948391,15.9372,10.7392,0.0233254,0.025063,0.433793,0.521008,0.457118,0.546071
0.96164,0.950004,16.2044,10.4736,0.0236123,0.023593,0.436837,0.513693,0.46045,0.537286
0.974002,0.92411,11.9288,14.7488,0.0115602,0.0580335,0.385938,0.627132,0.397498,0.685165
0.9724,0.926477,12.1904,14.4864,0.0115921,0.0566506,0.389649,0.61624,0.401241,0.672891
0.971238,0.933099,12.4672,14.2096,0.012295,0.0488245,0.392972,0.596768,0.405267,0.645592
0.971195,0.932887,12.7312,13.9448,0.0135723,0.0451752,0.395795,0.590965,0.409368,0.63614
0.971983,0.935387,12.9888,13.6892,0.0137334,0.044969,0.399908,0.577357,0.413641,0.622326
0.9682,0.938387,13.2624,13.4148,0.0159591,0.0412374,0.407088,0.568981,0.423047,0.610219
0.968054,0.938966,13.5272,13.1504,0.0163126,0.0391888,0.410105,0.562091,0.426418,0.60128
0.967083,0.941726,13.8084,12.87,0.0175258,0.0364312,0.415885,0.548846,0.43341,0.585278
0.96661,0.943268,14.0808,12.5964,0.0185079,0.0329251,0.418966,0.543169,0.437474,0.576094
0.964048,0.943539,14.3512,12.3264,0.0185464,0.0309582,0.425388,0.534285,0.443934,0.565243
0.962332,0.944686,14.6132,12.0644,0.0202981,0.027139,0.430453,0.526465,0.450752,0.553603
0.960689,0.947858,14.868,11.8088,0.0214376,0.0269446,0.435645,0.516214,0.457083,0.543159
0.9612,0.948164,15.1316,11.5456,0.0222525,0.024677,0.439491,0.513018,0.461743,0.537695
0.95956,0.952547,15.3948,11.2812,0.0240631,0.0226854,0.446112,0.501363,0.470176,0.524049
0.958443,0.952924,15.674,11.0036,0.0264022,0.0230985,0.450263,0.497434,0.476666,0.520533
0.956435,0.954426,15.9388,10.7392,0.0272586,0.0203701,0.457175,0.488216,0.484434,0.508586
0.954724,0.956876,16.2032,10.4732,0.0281005,0.0199267,0.462768,0.481244,0.490869,0.501171
0.972827,0.927292,11.9288,14.7484,0.0123462,0.0534184,0.393236,0.603713,0.405582,0.657131
0.970791,0.930955,12.1908,14.4864,0.013074,0.0507802,0.397246,0.587479,0.41032,0.63826
0.971632,0.933859,12.4672,14.2096,0.0127399,0.0463137,0.398241,0.581439,0.410981,0.627752
